№,Title,Artist(s),Year,No.
,"""Are You Happy Now?""",Michelle Branch,2003,56
,"""Forever and for Always""",Shania Twain,2003,57
,"""I Can""",Nas,2003,58
,"""Underneath It All""",No Doubt featuring Lady Saw,2003,59
,"""If You're Not the One""",Daniel Bedingfield,2003,60
,"""Thoia Thoing""",R. Kelly,2003,61
,"""Here Without You""",3 Doors Down,2003,62
,"""Wanksta""",50 Cent,2003,63
,"""My Love Is Like...Wo""",Mýa,2003,64
,"""It's Five O'Clock Somewhere""",Alan Jackson featuring Jimmy Buffett,2003,65
,"""Like Glue""",Sean Paul,2003,66
,"""Can't Hold Us Down""",Christina Aguilera featuring Lil' Kim,2003,67
,"""My Front Porch Looking In""",Lonestar,2003,68
,"""Angel""",Amanda Perez,2003,69
,"""She Hates Me""",Puddle of Mudd,2003,70
,"""Don't Wanna Try""",Frankie J,2003,71
,"""The Jump Off""",Lil' Kim featuring Mr. Cheeks,2003,72
,"""Intuition""",Jewel,2003,73
,"""Hell Yeah""",Ginuwine featuring Baby,2003,74
,"""Beer for My Horses""",Toby Keith featuring Willie Nelson,2003,75
,"""Holidae In""",Chingy featuring Ludacris and Snoop Dogg,2003,76
,"""Suga Suga""",Baby Bash featuring Frankie J,2003,77
,"""Love of My Life (An Ode to Hip-Hop)""",Erykah Badu featuring Common,2003,78
,"""Fighter""",Christina Aguilera,2003,79
,"""Thugz Mansion""",2Pac,2003,80
,"""Clocks""",Coldplay,2003,81
,"""Put That Woman First""",Jaheim,2003,82
,"""Rain on Me""",Ashanti,2003,83
,"""19 Somethin'""",Mark Wills,2003,84
,"""Can't Stop, Won't Stop""",Young Gunz,2003,85
,"""Red Dirt Road""",Brooks & Dunn,2003,86
,"""What Was I Thinkin'""",Dierks Bentley,2003,87
,"""Flying Without Wings""",Ruben Studdard,2003,88
,"""Sing for the Moment""",Eminem,2003,89
,"""Have You Forgotten?""",Darryl Worley,2003,90
,"""No Shoes, No Shirt, No Problems""",Kenny Chesney,2003,91
,"""Come Over""",Aaliyah,2003,92
,"""Sick of Being Lonely""",Field Mob,2003,93
,"""Step in the Name of Love""",R. Kelly,2003,94
,"""I Want You""",Thalía featuring Fat Joe,2003,95
,"""Like a Stone""",Audioslave,2003,96
,"""Don't Know Why""",Norah Jones,2003,97
,"""Superman""",Eminem,2003,98
,"""Real Good Man""",Tim McGraw,2003,99
,"""Say Yes""",Floetry,2003,100
,"""Yeah!""",Usher featuring Lil Jon and Ludacris,2004,1
,"""Burn""",Usher,2004,2
,"""If I Ain't Got You""",Alicia Keys,2004,3
,"""This Love""",Maroon 5,2004,4
,"""The Way You Move""",OutKast featuring Sleepy Brown,2004,5
,"""The Reason""",Hoobastank,2004,6
,"""I Don't Wanna Know""",Mario Winans featuring Enya and P. Diddy,2004,7
,"""Hey Ya!""",OutKast,2004,8
,"""Goodies""",Ciara featuring Petey Pablo,2004,9
,"""Lean Back""",Terror Squad featuring Fat Joe and Remy Ma,2004,10
,"""Tipsy""",J-Kwon,2004,11
,"""Confessions Part II""",Usher,2004,12
,"""Slow Motion""",Juvenile featuring Soulja Slim,2004,13
,"""Freek-a-Leek""",Petey Pablo,2004,14
,"""Here Without You""",3 Doors Down,2004,15
,"""Slow Jamz""",Twista featuring Kanye West and Jamie Foxx,2004,16
,"""Someday""",Nickelback,2004,17
,"""Naughty Girl""",Beyoncé,2004,18
,"""My Immortal""",Evanescence,2004,19
,"""Sunshine""",Lil' Flip featuring Lea,2004,20
,"""Dirt off Your Shoulder""",Jay-Z,2004,21
,"""Move Ya Body""",Nina Sky featuring Jabba,2004,22
,"""Dip It Low""",Christina Milian,2004,23
,"""My Boo""",Usher and Alicia Keys,2004,24
,"""One Call Away""",Chingy featuring J-Weav,2004,25
,"""Me, Myself and I""",Beyoncé,2004,26
,"""Turn Me On""",Kevin Lyttle featuring Spragga Benz,2004,27
,"""The First Cut Is the Deepest""",Sheryl Crow,2004,28
,"""You Don't Know My Name""",Alicia Keys,2004,29
,"""My Place""",Nelly featuring Jaheim,2004,30
,"""Overnight Celebrity""",Twista,2004,31
,"""Hotel""",Cassidy featuring R. Kelly,2004,32
,"""Numb""",Linkin Park,2004,33
,"""Diary""",Alicia Keys featuring Tony! Toni! Toné!,2004,34
,"""She Will Be Loved""",Maroon 5,2004,35
,"""White Flag""",Dido,2004,36
,"""Heaven""",Los Lonely Boys,2004,37
,"""It's My Life""",No Doubt,2004,38
,"""Pieces of Me""",Ashlee Simpson,2004,39
,"""Leave (Get Out)""",JoJo,2004,40
,"""Milkshake""",Kelis,2004,41
,"""Splash Waterfalls""",Ludacris,2004,42
,"""Jesus Walks""",Kanye West,2004,43
,"""Locked Up""",Akon featuring Styles P,2004,44
,"""Stand Up""",Ludacris featuring Shawnna,2004,45
,"""Suga Suga""",Baby Bash featuring Frankie J,2004,46
,"""All Falls Down""",Kanye West featuring Syleena Johnson,2004,47
,"""Toxic""",Britney Spears,2004,48
,"""Salt Shaker""",Ying Yang Twins featuring Lil Jon & the East Side Boyz,2004,49
,"""With You""",Jessica Simpson,2004,50
,"""Meant to Live""",Switchfoot,2004,51
,"""I Like That""","Houston featuring Chingy, Nate Dogg and I-20",2004,52
,"""Sorry 2004""",Ruben Studdard,2004,53
,"""My Happy Ending""",Avril Lavigne,2004,54
,"""On Fire""",Lloyd Banks,2004,55
,"""Roses""",OutKast,2004,56
,"""Walked Outta Heaven""",Jagged Edge,2004,57
,"""Lose My Breath""",Destiny's Child,2004,58
,"""My Band""",D12,2004,59
,"""I'm Still in Love with You""",Sean Paul featuring Sasha,2004,60
,"""Through the Wire""",Kanye West,2004,61
,"""Why?""",Jadakiss featuring Anthony Hamilton,2004,62
,"""Fuck It (I Don't Want You Back)""",Eamon,2004,63
,"""Read Your Mind""",Avant,2004,64
,"""Game Over (Flip)""",Lil' Flip,2004,65
,"""One Thing""",Finger Eleven,2004,66
,"""Headsprung""",LL Cool J,2004,67
,"""Damn!""",YoungBloodZ featuring Lil Jon,2004,68
,"""Baby Boy""",Beyoncé featuring Sean Paul,2004,69
,"""Get Low""",Lil Jon & the East Side Boyz featuring Ying Yang Twins,2004,70
,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,2004,71
,"""U Should've Known Better""",Monica,2004,72
,"""On the Way Down""",Ryan Cabrera,2004,73
,"""Breakaway""",Kelly Clarkson,2004,74
,"""Why Don't You & I""",Santana featuring Alex Band or Chad Kroeger,2004,75
,"""Are You Gonna Be My Girl""",Jet,2004,76
,"""100 Years""",Five for Fighting,2004,77
,"""Step in the Name of Love""",R. Kelly,2004,78
,"""Breaking the Habit""",Linkin Park,2004,79
,"""Gigolo""",Nick Cannon featuring R. Kelly,2004,80
,"""Live Like You Were Dying""",Tim McGraw,2004,81
,"""Remember When""",Alan Jackson,2004,82
,"""Everytime""",Britney Spears,2004,83
,"""Southside""",Lloyd featuring Ashanti,2004,84
,"""Dude""",Beenie Man featuring Ms. Thing,2004,85
,"""Wanna Get to Know You""",G-Unit featuring Joe,2004,86
,"""Holidae In""",Chingy featuring Ludacris and Snoop Dogg,2004,87
,"""Let's Get It Started""",The Black Eyed Peas,2004,88
,"""When the Sun Goes Down""",Kenny Chesney and Uncle Kracker,2004,89
,"""American Soldier""",Toby Keith,2004,90
,"""Change Clothes""",Jay-Z,2004,91
,"""Don't Tell Me""",Avril Lavigne,2004,92
,"""You'll Think of Me""",Keith Urban,2004,93
,"""Happy People""",R. Kelly,2004,94
,"""Hey Mama""",The Black Eyed Peas,2004,95
,"""Over and Over""",Nelly featuring Tim McGraw,2004,96
,"""Redneck Woman""",Gretchen Wilson,2004,97
,"""Just Lose It""",Eminem,2004,98
,"""Letters from Home""",John Michael Montgomery,2004,99
,"""I Go Back""",Kenny Chesney,2004,100
,"""We Belong Together""",Mariah Carey,2005,1
,"""Hollaback Girl""",Gwen Stefani,2005,2
,"""Let Me Love You""",Mario,2005,3
,"""Since U Been Gone""",Kelly Clarkson,2005,4
,"""1, 2 Step""",Ciara featuring Missy Elliott,2005,5
,"""Gold Digger""",Kanye West featuring Jamie Foxx,2005,6
,"""Boulevard of Broken Dreams""",Green Day,2005,7
,"""Candy Shop""",50 Cent featuring Olivia,2005,8
,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,2005,9
,"""Behind These Hazel Eyes""",Kelly Clarkson,2005,10
,"""Disco Inferno""",50 Cent,2005,11
,"""You and Me""",Lifehouse,2005,12
,"""Don't Phunk with My Heart""",The Black Eyed Peas,2005,13
,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,2005,14
,"""Shake It Off""",Mariah Carey,2005,15
,"""Mr. Brightside""",The Killers,2005,16
,"""Just a Lil Bit""",50 Cent,2005,17
,"""Pon de Replay""",Rihanna,2005,18
,"""How We Do""",The Game featuring 50 Cent,2005,19
,"""Beverly Hills""",Weezer,2005,20
,"""Oh""",Ciara featuring Ludacris,2005,21
,"""Lonely No More""",Rob Thomas,2005,22
,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,2005,23
,"""Hate It or Love It""",The Game featuring 50 Cent,2005,24
,"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,2005,25
,"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,2005,26
,"""Breakaway""",Kelly Clarkson,2005,27
,"""Switch""",Will Smith,2005,28
,"""Let Me Hold You""",Bow Wow featuring Omarion,2005,29
,"""Like You""",Bow Wow featuring Ciara,2005,30
,"""Rich Girl""",Gwen Stefani featuring Eve,2005,31
,"""My Humps""",The Black Eyed Peas,2005,32
,"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,2005,33
,"""Caught Up""",Usher,2005,34
,"""Listen to Your Heart""",DHT featuring Edmee,2005,35
,"""Scars""",Papa Roach,2005,36
,"""Feel Good Inc.""",Gorillaz,2005,37
,"""Let Me Go""",3 Doors Down,2005,38
,"""Holiday""",Green Day,2005,39
,"""Sugar, We're Goin Down""",Fall Out Boy,2005,40
,"""Grind with Me""",Pretty Ricky,2005,41
,"""Run It!""",Chris Brown featuring Juelz Santana,2005,42
,"""Photograph""",Nickelback,2005,43
,"""Lonely""",Akon,2005,44
,"""Collide""",Howie Day,2005,45
,"""Wake Me Up When September Ends""",Green Day,2005,46
,"""Slow Down""",Bobby Valentino,2005,47
,"""Over and Over""",Nelly featuring Tim McGraw,2005,48
,"""Some Cut""",Trillville featuring Cutty,2005,49
,"""Get It Poppin'""",Fat Joe featuring Nelly,2005,50
,"""Play""",David Banner,2005,51
,"""Soul Survivor""",Young Jeezy featuring Akon,2005,52
,"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,2005,53
,"""My Boo""",Usher and Alicia Keys,2005,54
,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",2005,55
,"""Karma""",Alicia Keys,2005,56
,"""Speed of Sound""",Coldplay,2005,57
,"""I Don't Want to Be""",Gavin DeGraw,2005,58
,"""Mockingbird""",Eminem,2005,59
,"""La Tortura""",Shakira featuring Alejandro Sanz,2005,60
,"""She Will Be Loved""",Maroon 5,2005,61
,"""Baby I'm Back""",Baby Bash featuring Akon,2005,62
,"""Wait (The Whisper Song)""",Ying Yang Twins,2005,63
,"""Incomplete""",Backstreet Boys,2005,64
,"""Bring Em Out""",T.I.,2005,65
,"""Cater 2 U""",Destiny's Child,2005,66
,"""1 Thing""",Amerie,2005,67
,"""Best of You""",Foo Fighters,2005,68
,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,2005,69
,"""Goin' Crazy""",Natalie,2005,70
,"""Inside Your Heaven""",Carrie Underwood,2005,71
,"""Because of You""",Kelly Clarkson,2005,72
,"""Truth Is""",Fantasia,2005,73
,"""Your Body""",Pretty Ricky,2005,74
,"""Beautiful Soul""",Jesse McCartney,2005,75
,"""Cool""",Gwen Stefani,2005,76
,"""Get Back""",Ludacris,2005,77
,"""Outta Control""",50 Cent featuring Mobb Deep,2005,78
,"""U Don't Know Me""",T.I.,2005,79
,"""These Words""",Natasha Bedingfield,2005,80
,"""Don't Lie""",The Black Eyed Peas,2005,81
,"""Get Right""",Jennifer Lopez,2005,82
,"""Daughters""",John Mayer,2005,83
,"""As Good as I Once Was""",Toby Keith,2005,84
,"""Girlfight""",Brooke Valentine featuring Lil Jon and Big Boi,2005,85
,"""Lose My Breath""",Destiny's Child,2005,86
,"""Ordinary People""",John Legend,2005,87
,"""We Be Burnin'""",Sean Paul,2005,88
,"""Just the Girl""",The Click Five,2005,89
,"""True""",Ryan Cabrera,2005,90
,"""O""",Omarion,2005,91
,"""Back Then""",Mike Jones,2005,92
,"""Numb/Encore""",Jay-Z and Linkin Park,2005,93
,"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,2005,94
,"""I'm Sprung""",T-Pain,2005,95
,"""Chariot""",Gavin DeGraw,2005,96
,"""U Already Know""",112 featuring Foxy Brown,2005,97
,"""Mississippi Girl""",Faith Hill,2005,98
,"""Number One Spot""",Ludacris,2005,99
,"""Give Me That""",Webbie featuring Bun B,2005,100
,"""Bad Day""",Daniel Powter,2006,1
,"""Temperature""",Sean Paul,2006,2
,"""Promiscuous""",Nelly Furtado featuring Timbaland,2006,3
,"""You're Beautiful""",James Blunt,2006,4
,"""Hips Don't Lie""",Shakira featuring Wyclef Jean,2006,5
,"""Unwritten""",Natasha Bedingfield,2006,6
,"""Crazy""",Gnarls Barkley,2006,7
,"""Ridin'""",Chamillionaire featuring Krayzie Bone,2006,8
,"""SexyBack""",Justin Timberlake featuring Timbaland,2006,9
,"""Check on It""",Beyoncé featuring Slim Thug and Bun B,2006,10
,"""Be Without You""",Mary J. Blige,2006,11
,"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,2006,12
,"""Over My Head (Cable Car)""",The Fray,2006,13
,"""Me & U""",Cassie,2006,14
,"""Buttons""",Pussycat Dolls featuring Snoop Dogg,2006,15
,"""Run It!""",Chris Brown featuring Juelz Santana,2006,16
,"""So Sick""",Ne-Yo,2006,17
,"""It's Goin' Down""",Yung Joc featuring Nitti,2006,18
,"""SOS""",Rihanna,2006,19
,"""I Write Sins Not Tragedies""",Panic! at the Disco,2006,20
,"""Move Along""",The All-American Rejects,2006,21
,"""London Bridge""",Fergie,2006,22
,"""Dani California""",Red Hot Chili Peppers,2006,23
,"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,2006,24
,"""Lean wit It, Rock wit It""",Dem Franchize Boyz featuring Peanut and Charlay,2006,25
,"""What Hurts the Most""",Rascal Flatts,2006,26
,"""How to Save a Life""",The Fray,2006,27
,"""Unfaithful""",Rihanna,2006,28
,"""Chasing Cars""",Snow Patrol,2006,29
,"""Lips of an Angel""",Hinder,2006,30
,"""Everytime We Touch""",Cascada,2006,31
,"""Ain't No Other Man""",Christina Aguilera,2006,32
,"""Dance, Dance""",Fall Out Boy,2006,33
,"""Gold Digger""",Kanye West featuring Jamie Foxx,2006,34
,"""Money Maker""",Ludacris featuring Pharrell,2006,35
,"""Ms. New Booty""",Bubba Sparxxx featuring Ying Yang Twins,2006,36
,"""(When You Gonna) Give It Up to Me""",Sean Paul featuring Keyshia Cole,2006,37
,"""Photograph""",Nickelback,2006,38
,"""Because of You""",Kelly Clarkson,2006,39
,"""Stickwitu""",Pussycat Dolls,2006,40
,"""I'm 'n Luv (wit a Stripper)""",T-Pain featuring Mike Jones,2006,41
,"""My Humps""",The Black Eyed Peas,2006,42
,"""Where'd You Go""",Fort Minor featuring Holly Brook and Jonah Matranga,2006,43
,"""Yo (Excuse Me Miss)""",Chris Brown,2006,44
,"""Walk Away""",Kelly Clarkson,2006,45
,"""Laffy Taffy""",D4L,2006,46
,"""What You Know""",T.I.,2006,47
,"""Dirty Little Secret""",The All-American Rejects,2006,48
,"""Savin' Me""",Nickelback,2006,49
,"""Don't Forget About Us""",Mariah Carey,2006,50
,"""Sexy Love""",Ne-Yo,2006,51
,"""U and Dat""",E-40 featuring T-Pain and Kandi Girl,2006,52
,"""Far Away""",Nickelback,2006,53
,"""What's Left of Me""",Nick Lachey,2006,54
,"""So What""",Field Mob featuring Ciara,2006,55
,"""Do It to It""",Cherish featuring Sean Paul of the YoungBloodZ,2006,56
,"""Black Horse and the Cherry Tree""",KT Tunstall,2006,57
,"""There It Go (The Whistle Song)""",Juelz Santana,2006,58
,"""Shoulder Lean""",Young Dro featuring T.I.,2006,59
,"""Unpredictable""",Jamie Foxx featuring Ludacris,2006,60
,"""My Love""",Justin Timberlake featuring T.I.,2006,61
,"""Shake That""",Eminem featuring Nate Dogg,2006,62
,"""Pullin' Me Back""",Chingy featuring Tyrese,2006,63
,"""Bossy""",Kelis featuring Too Short,2006,64
,"""Chain Hang Low""",Jibbs,2006,65
,"""Smack That""",Akon featuring Eminem,2006,66
,"""One Wish""",Ray J,2006,67
,"""Sugar, We're Goin Down""",Fall Out Boy,2006,68
,"""Gimme That""",Chris Brown featuring Lil Wayne,2006,69
,"""I Know You See It""",Yung Joc,2006,70
,"""Who Says You Can't Go Home""",Bon Jovi featuring Jennifer Nettles,2006,71
,"""Too Little Too Late""",JoJo,2006,72
,"""Touch It""",Busta Rhymes,2006,73
,"""Rompe""",Daddy Yankee,2006,74
,"""Déjà Vu""",Beyoncé featuring Jay-Z,2006,75
,"""Life Is a Highway""",Rascal Flatts,2006,76
,"""Call Me When You're Sober""",Evanescence,2006,77
,"""Jesus, Take the Wheel""",Carrie Underwood,2006,78
,"""Show Stopper""",Danity Kane featuring Yung Joc,2006,79
,"""Get Up""",Ciara featuring Chamillionaire,2006,80
,"""We Be Burnin'""",Sean Paul,2006,81
,"""Hate Me""",Blue October,2006,82
,"""You and Me""",Lifehouse,2006,83
,"""Beep""",Pussycat Dolls featuring will.i.am,2006,84
,"""I Think They Like Me""","Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow",2006,85
,"""Say Goodbye""",Chris Brown,2006,86
,"""Waiting on the World to Change""",John Mayer,2006,87
,"""Soul Survivor""",Young Jeezy featuring Akon,2006,88
,"""Pump It""",The Black Eyed Peas,2006,89
,"""When I'm Gone""",Eminem,2006,90
,"""Hung Up""",Madonna,2006,91
,"""Stay Fly""",Three 6 Mafia featuring Young Buck and 8Ball & MJG,2006,92
,"""Love""",Keyshia Cole,2006,93
,"""When You're Mad""",Ne-Yo,2006,94
,"""Why You Wanna""",T.I.,2006,95
,"""Stupid Girls""",Pink,2006,96
,"""Feel Good Inc.""",Gorillaz,2006,97
,"""I'm Sprung""",T-Pain,2006,98
,"""Do I Make You Proud""",Taylor Hicks,2006,99
,"""For You I Will (Confidence)""",Teddy Geiger,2006,100
1,"""Irreplaceable""",Beyoncé,2007,
2,"""Umbrella""",Rihanna featuring Jay-Z,2007,
3,"""The Sweet Escape""",Gwen Stefani featuring Akon,2007,
4,"""Big Girls Don't Cry""",Fergie,2007,
5,"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,2007,
6,"""Before He Cheats""",Carrie Underwood,2007,
7,"""Hey There Delilah""",Plain White T's,2007,
8,"""I Wanna Love You""",Akon featuring Snoop Dogg,2007,
9,"""Say It Right""",Nelly Furtado,2007,
10,"""Glamorous""",Fergie featuring Ludacris,2007,
11,"""Don't Matter""",Akon,2007,
12,"""Girlfriend""",Avril Lavigne,2007,
13,"""Makes Me Wonder""",Maroon 5,2007,
14,"""Party Like a Rockstar""",Shop Boyz,2007,
15,"""Smack That""",Akon featuring Eminem,2007,
16,"""This Is Why I'm Hot""",Mims,2007,
17,"""It's Not Over""",Daughtry,2007,
18,"""The Way I Are""",Timbaland featuring Keri Hilson,2007,
19,"""Fergalicious""",Fergie featuring will.i.am,2007,
20,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,2007,
21,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,2007,
22,"""What Goes Around... Comes Around""",Justin Timberlake,2007,
23,"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,2007,
24,"""How to Save a Life""",The Fray,2007,
25,"""Home""",Daughtry,2007,
26,"""My Love""",Justin Timberlake featuring T.I.,2007,
27,"""Stronger""",Kanye West,2007,
28,"""We Fly High""",Jim Jones,2007,
29,"""U + Ur Hand""",Pink,2007,
30,"""Walk It Out""",Unk,2007,
31,"""Beautiful Girls""",Sean Kingston,2007,
32,"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,2007,
33,"""Bartender""",T-Pain featuring Akon,2007,
34,"""Pop, Lock & Drop It""",Huey,2007,
35,"""Runaway Love""",Ludacris featuring Mary J. Blige,2007,
36,"""Rockstar""",Nickelback,2007,
37,"""Thnks fr th Mmrs""",Fall Out Boy,2007,
38,"""What I've Done""",Linkin Park,2007,
39,"""Summer Love""",Justin Timberlake,2007,
40,"""You""",Lloyd featuring Lil Wayne,2007,
41,"""Wait for You""",Elliott Yamin,2007,
42,"""Last Night""",Diddy featuring Keyshia Cole,2007,
43,"""Make It Rain""",Fat Joe featuring Lil Wayne,2007,
44,"""Make Me Better""",Fabolous featuring Ne-Yo,2007,
45,"""Ice Box""",Omarion,2007,
46,"""Lips of an Angel""",Hinder,2007,
47,"""Waiting on the World to Change""",John Mayer,2007,
48,"""Lost Without U""",Robin Thicke,2007,
49,"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,2007,
50,"""If Everyone Cared""",Nickelback,2007,
51,"""Get It Shawty""",Lloyd,2007,
52,"""Face Down""",The Red Jumpsuit Apparatus,2007,
53,"""The Way I Live""",Baby Boy da Prince,2007,
54,"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,2007,
55,"""It Ends Tonight""",The All-American Rejects,2007,
56,"""A Bay Bay""",Hurricane Chris,2007,
57,"""Because of You""",Ne-Yo,2007,
58,"""I Tried""",Bone Thugs-n-Harmony featuring Akon,2007,
59,"""Welcome To The Black Parade""",My Chemical Romance,2007,
60,"""Shawty""",Plies featuring T-Pain,2007,
61,"""Chasing Cars""",Snow Patrol,2007,
62,"""Beautiful Liar""",Beyoncé and Shakira,2007,
63,"""SexyBack""",Justin Timberlake featuring Timbaland,2007,
64,"""Keep Holding On""",Avril Lavigne,2007,
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,2007,
66,"""Apologize""",OneRepublic,2007,
67,"""Bubbly""",Colbie Caillat,2007,
68,"""Like a Boy""",Ciara,2007,
69,"""Who Knew""",Pink,2007,
70,"""Never Again""",Kelly Clarkson,2007,
71,"""Promise""",Ciara,2007,
72,"""Bed""",J. Holiday,2007,
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,2007,
74,"""Rehab""",Amy Winehouse,2007,
75,"""Big Shit Poppin' (Do It)""",T.I.,2007,
76,"""No One""",Alicia Keys,2007,
77,"""The Great Escape""",Boys Like Girls,2007,
78,"""2 Step""",Unk,2007,
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,2007,
80,"""Go Getta""",Young Jeezy featuring R. Kelly,2007,
81,"""Here (In Your Arms)""",Hellogoodbye,2007,
82,"""On the Hotline""",Pretty Ricky,2007,
83,"""Wind It Up""",Gwen Stefani,2007,
84,"""Cyclone""",Baby Bash featuring T-Pain,2007,
85,"""Break It Off""",Rihanna featuring Sean Paul,2007,
86,"""First Time""",Lifehouse,2007,
87,"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,2007,
88,"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,2007,
89,"""Teardrops on My Guitar""",Taylor Swift,2007,
90,"""Shut Up and Drive""",Rihanna,2007,
91,"""Snow (Hey Oh)""",Red Hot Chili Peppers,2007,
92,"""Money Maker""",Ludacris featuring Pharrell,2007,
93,"""Kiss Kiss""",Chris Brown featuring T-Pain,2007,
94,"""Far Away""",Nickelback,2007,
95,"""Rock Yo Hips""",Crime Mob and Lil' Scrappy,2007,
96,"""LoveStoned""",Justin Timberlake,2007,
97,"""Better than Me""",Hinder,2007,
98,"""Paralyzer""",Finger Eleven,2007,
99,"""That's That""",Snoop Dogg featuring R. Kelly,2007,
100,"""Same Girl""",R. Kelly featuring Usher,2007,
1,"""Low""",Flo Rida featuring T-Pain,2008,
2,"""Bleeding Love""",Leona Lewis,2008,
3,"""No One""",Alicia Keys,2008,
4,"""Lollipop""",Lil Wayne featuring Static Major,2008,
5,"""Apologize""",Timbaland featuring OneRepublic,2008,
6,"""No Air""",Jordin Sparks and Chris Brown,2008,
7,"""Love Song""",Sara Bareilles,2008,
8,"""Love in This Club""",Usher featuring Young Jeezy,2008,
9,"""With You""",Chris Brown,2008,
10,"""Forever""",,2008,
11,"""Sexy Can I""",Ray J featuring Yung Berg,2008,
12,"""Take a Bow""",Rihanna,2008,
13,"""Viva la Vida""",Coldplay,2008,
14,"""I Kissed a Girl""",Katy Perry,2008,
15,"""Whatever You Like""",T.I.,2008,
16,"""Disturbia""",Rihanna,2008,
17,"""Don't Stop the Music""",,2008,
18,"""Pocketful of Sunshine""",Natasha Bedingfield,2008,
19,"""Kiss Kiss""",Chris Brown featuring T-Pain,2008,
20,"""Closer""",Ne-Yo,2008,
21,"""Bubbly""",Colbie Caillat,2008,
22,"""Touch My Body""",Mariah Carey,2008,
23,"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland,2008,
24,"""So What""",Pink,2008,
25,"""Paralyzer""",Finger Eleven,2008,
26,"""Clumsy""",Fergie,2008,
27,"""I'm Yours""",Jason Mraz,2008,
28,"""Leavin'""",Jesse McCartney,2008,
29,"""Dangerous""",Kardinal Offishall featuring Akon,2008,
30,"""Tattoo""",Jordin Sparks,2008,
31,"""See You Again""",Miley Cyrus,2008,
32,"""Shake It""",Metro Station,2008,
33,"""Stop and Stare""",OneRepublic,2008,
34,"""Take You There""",Sean Kingston,2008,
35,"""Paper Planes""",M.I.A.,2008,
36,"""Hot n Cold""",Katy Perry,2008,
37,"""Live Your Life""",T.I. featuring Rihanna,2008,
38,"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo,2008,
39,"""American Boy""",Estelle featuring Kanye West,2008,
40,"""Got Money""",Lil Wayne featuring T-Pain,2008,
41,"""Our Song""",Taylor Swift,2008,
42,"""Damaged""",Danity Kane,2008,
43,"""A Milli""",Lil Wayne,2008,
44,"""Sorry""",Buckcherry,2008,
45,"""Independent""",Webbie featuring Lil Boosie and Lil Phat,2008,
46,"""Can't Believe It""",T-Pain featuring Lil Wayne,2008,
47,"""Like You'll Never See Me Again""",Alicia Keys,2008,
48,"""Teardrops on My Guitar""",Taylor Swift,2008,
49,"""When I Grow Up""",Pussycat Dolls,2008,
50,"""Sexual Eruption""",Snoop Dogg,2008,
51,"""What You Got""",Colby O'Donis featuring Akon,2008,
52,"""It's Not My Time""",3 Doors Down,2008,
53,"""Better in Time""",Leona Lewis,2008,
54,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,2008,
55,"""Shadow of the Day""",Linkin Park,2008,
56,"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia",2008,
57,"""Miss Independent""",Ne-Yo,2008,
58,"""Fall for You""",Secondhand Serenade,2008,
59,"""In the Ayer""",Flo Rida featuring will.i.am,2008,
60,"""Say""",John Mayer,2008,
61,"""One Step at a Time""",Jordin Sparks,2008,
62,"""Hate That I Love You""",Rihanna featuring Ne-Yo,2008,
63,"""Superstar""",Lupe Fiasco featuring Matthew Santos,2008,
64,"""Suffocate""",J. Holiday,2008,
65,"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,2008,
66,"""Get Like Me""",David Banner featuring Chris Brown and Yung Joc,2008,
67,"""Realize""",Colbie Caillat,2008,
68,"""Put On""",Young Jeezy featuring Kanye West,2008,
69,"""The Time of My Life""",David Cook,2008,
